Item_number,Description,"Total_650K
"
0P7785-11448,Underguarding,22
0P7785-11298,Underguarding,30
0P5546-35130,Z-arm for guardrail,16
0P5476-10000,Bottom-cover (Fenospan) SPO2,0
0P5463-03000,Connection Angle SPO2,0
0P5463-02700,Connection Angle SPO2,0
0P5463-02250,Connection Angle SPO2,0
0P5462-03000,Bridge profile machined SPO2,0
0P5462-02700,Bridge profile machined SPO2,0
0P5462-02250,Bridge profile machined SPO2,0
0P5462-01500,Bridge profile machined SPO2,0
0P5461-00001,Support Cable Trunck SPO2,0
0P5445-01300,Cross member U-profile,0
0P5445-01000,Cross member U-profile,0
0P3799-03040,FIlling channel,0
0P3322-00300,"Cou.high guardr.(100,197,300)(armc=P3086",2074
0P3321-00300,End Cap High Guardrail,1043
0P3321-00100C1F,End Cap High Guardrail,0
0P3321-00100,End Cap High Guardrail,2757
0P3076-00001,CONNECTION PLATE,375
0P2271-30490,FILLING PLATE SHORT 50-490 SPO2,0
0P2271-30440,FILLING PLATE SHORT 50-490 SPO2,0
0P2271-10150,FILLING PLATE SHORT 50-490 SPO2,0
0P2271-00480,FILLING PLATE SHORT 50-490 SPO2,0
0P2271-00360,FILLING PLATE SHORT 50-490 SPO2,0
0P2271-00340,FILLING PLATE SHORT 50-490 SPO2,0
0P2271-00300,FILLING PLATE SHORT 50-490 SPO2,0
0P2271-00290,FILLING PLATE SHORT 50-490 SPO2,0
0P2271-00270,FILLING PLATE SHORT 50-490 SPO2,0
0P2271-00250,FILLING PLATE SHORT 50-490 SPO2,0
0P2271-00220,FILLING PLATE SHORT 50-490 SPO2,0
0P2271-00200,FILLING PLATE SHORT 50-490 SPO2,0
0P2271-00130,FILLING PLATE SHORT 50-490 SPO2,0
0P2271-00120,FILLING PLATE SHORT 50-490 SPO2,0
0P2271-00100,FILLING PLATE SHORT 50-490 SPO2,0
0P2271-00070,FILLING PLATE SHORT 50-490 SPO2,0
0P2271-00050,FILLING PLATE SHORT 50-490 SPO2,0
0P2105-00001,Mounting Strap Ceiling Hanger,0
0P1873-00058,Lock Plate For M8 Bolt,0
0P1233-01152,Clamp plate,0
0P0518-00001,Side Guarding Connecting Pin,484
0L9021-00001,Underguarding mounting unit,8104
0L8574-10200,Assy shoe merge SPO2,0
0L8574-10100,Assy shoe merge SPO2,0
0L8472-10030,Assy Middle Section SPO2 With Slant Runway,0
0L8472-10027,Assy Middle Section SPO2 With Slant Runway,0
0L8472-10022,Assy Middle Section SPO2 With Slant Runway,0
0L7885-23515,Duplex Support With Damper,8
0L7885-23512,Duplex Support With Damper,0
0L7885-23510,Duplex Support With Damper,0
0L7885-22015,Duplex Support With Damper,0
0L7885-22012,Duplex Support With Damper,0
0L7885-22010,Duplex Support With Damper,0
0L7885-20515,Duplex Support With Damper,0
0L7885-20512,Duplex Support With Damper,0
0L7885-19015,Duplex Support With Damper,0
0L7885-19012,Duplex Support With Damper,0
0L7885-19010,Duplex Support With Damper,0
0L7885-17515,Duplex Support With Damper,6
0L7885-17512,Duplex Support With Damper,0
0L7885-17510,Duplex Support With Damper,0
0L7885-16015,Duplex Support With Damper,0
0L7885-16012,Duplex Support With Damper,0
0L7885-16010,Duplex Support With Damper,0
0L7885-14512,Duplex Support With Damper,1
0L7885-14510,Duplex Support With Damper,0
0L7885-13015,Duplex Support With Damper,5
0L7885-13012,Duplex Support With Damper,0
0L7885-11515,Duplex Support With Damper,0
0L7885-11510,Duplex Support With Damper,0
0L7885-10015,Duplex Support With Damper,13
0L7885-10013,Duplex Support With Damper,0
0L7885-10012,Duplex Support With Damper,0
0L7885-10010,Duplex Support With Damper,0
0L7848-00001,Single Low Support With Damper,26
0L7840-18510,Assy Support R4 With Damper,0
0L7840-11515,Assy Support R4 With Damper,0
0L7840-11510,Assy Support R4 With Damper,10
0L7840-08015,Assy Support R4 With Damper,1
0L7840-08012,Assy Support R4 With Damper,72
0L7840-08010,Assy Support R4 With Damper,11
0L7840-06012,Assy Support R4 With Damper,72
0L7840-06010,Assy Support R4 With Damper,0
0L7840-05010,Assy Support R4 With Damper,36
0L7840-04210,Assy Support R4 With Damper,10
0L7840-03715,Assy Support R4 With Damper,0
0L7819-01415,ADJUSTABLE UNDERGUARDING,23
0L7819-01115,ADJUSTABLE UNDERGUARDING,6
0L7819-00915,ADJUSTABLE UNDERGUARDING,5
0L7701-05329,Heavy Ceiling Hanger With Damper,0
0L7701-05138,Heavy Ceiling Hanger With Damper,0
0L6167-20190,Footbase with M20 rod and damper,0
0L6069-32001,Drive Train Powerfeeder,0
0L6069-23010,Drive Train Powerfeeder,0
0L6069-23001,Drive Train Powerfeeder,2
0L6069-23000,Drive Train Powerfeeder,12
0L6069-12011,Drive Train Powerfeeder,0
0L6069-12010,Drive Train Powerfeeder,0
0L6069-12001,Drive Train Powerfeeder,1
0L6069-12000,Drive Train Powerfeeder,2
0L6069-11011,Drive Train Powerfeeder,23
0L6069-11010,Drive Train Powerfeeder,15
0L6069-11001,Drive Train Powerfeeder,24
0L6069-11000,Drive Train Powerfeeder,29
0L4719-03000,Set side cover plates for one bedsection SPO2,0
0L4719-02700,Set side cover plates for one bedsection SPO2,0
0L4719-02250,Set side cover plates for one bedsection SPO2,0
0L4718-03000,Assy Connection Angle Spur SPO2,0
0L4718-02700,Assy Connection Angle Spur SPO2,0
0L4718-02250,Assy Connection Angle Spur SPO2,0
0L4717-03000,BRIDGE-PROFILE ASSY SPO2,0
0L4717-02700,BRIDGE-PROFILE ASSY SPO2,0
0L4717-02250,BRIDGE-PROFILE ASSY SPO2,0
0L4717-01500,BRIDGE-PROFILE ASSY SPO2,0
0L4178-01150,ASSY HORIZONTALE HINGE FOR U-SIDE GUARDING H=100 MM.,76
0L4178-01135,ASSY HORIZONTALE HINGE FOR U-SIDE GUARDING H=100 MM.,6
0L4178-01090,ASSY HORIZONTALE HINGE FOR U-SIDE GUARDING H=100 MM.,174
0L4178-01045,ASSY HORIZONTALE HINGE FOR U-SIDE GUARDING H=100 MM.,6
0L4178-01030,ASSY HORIZONTALE HINGE FOR U-SIDE GUARDING H=100 MM.,64
0L4162-11500,Assy return roller ?60,132
0L4162-11200,Assy return roller ?60,48
0L4162-11000,Assy return roller ?60,17
0L4162-01500,Assy return roller ?60,189
0L4162-01200,Assy return roller ?60,47
0L4162-01000,Assy return roller ?60,29
0L4117-00003,Assy Side Cover Drive SPO,0
0L3807-10954,Telescopic Wedge Belt SPO Drive 10mm Transport,0
0L3394-21520,DUPLEX SUPPORT R4 WITH DAMPER ASSY.,12
0L3394-21518,DUPLEX SUPPORT R4 WITH DAMPER ASSY.,0
0L3394-21514,DUPLEX SUPPORT R4 WITH DAMPER ASSY.,0
0L3394-20518,DUPLEX SUPPORT R4 WITH DAMPER ASSY.,0
0L3394-18520,DUPLEX SUPPORT R4 WITH DAMPER ASSY.,0
0L3394-18518,DUPLEX SUPPORT R4 WITH DAMPER ASSY.,0
0L3394-16522,DUPLEX SUPPORT R4 WITH DAMPER ASSY.,0
0L3394-16520,DUPLEX SUPPORT R4 WITH DAMPER ASSY.,0
0L3394-16518,DUPLEX SUPPORT R4 WITH DAMPER ASSY.,0
0L3394-16516,DUPLEX SUPPORT R4 WITH DAMPER ASSY.,0
0L3394-15530,DUPLEX SUPPORT R4 WITH DAMPER ASSY.,0
0L3394-15528,DUPLEX SUPPORT R4 WITH DAMPER ASSY.,0
0L3394-15524,DUPLEX SUPPORT R4 WITH DAMPER ASSY.,0
0L3394-15522,DUPLEX SUPPORT R4 WITH DAMPER ASSY.,46
0L3394-15520,DUPLEX SUPPORT R4 WITH DAMPER ASSY.,1
0L3394-15518,DUPLEX SUPPORT R4 WITH DAMPER ASSY.,0
0L3394-15514,DUPLEX SUPPORT R4 WITH DAMPER ASSY.,0
0L3394-12534,DUPLEX SUPPORT R4 WITH DAMPER ASSY.,0
0L3394-12526,DUPLEX SUPPORT R4 WITH DAMPER ASSY.,0
0L3394-12524,DUPLEX SUPPORT R4 WITH DAMPER ASSY.,5
0L3394-12522,DUPLEX SUPPORT R4 WITH DAMPER ASSY.,32
0L3394-12520,DUPLEX SUPPORT R4 WITH DAMPER ASSY.,0
0L3394-12518,DUPLEX SUPPORT R4 WITH DAMPER ASSY.,35
0L3394-12516,DUPLEX SUPPORT R4 WITH DAMPER ASSY.,0
0L3394-12018,DUPLEX SUPPORT R4 WITH DAMPER ASSY.,0
0L3394-12014,DUPLEX SUPPORT R4 WITH DAMPER ASSY.,0
0L3394-10522,DUPLEX SUPPORT R4 WITH DAMPER ASSY.,0
0L3394-10520,DUPLEX SUPPORT R4 WITH DAMPER ASSY.,1
0L3394-10518,DUPLEX SUPPORT R4 WITH DAMPER ASSY.,0
0L3394-10516,DUPLEX SUPPORT R4 WITH DAMPER ASSY.,0
0L3394-10514,DUPLEX SUPPORT R4 WITH DAMPER ASSY.,1
0L3323-00300,ASSY GUARDRAIL HIGH U-SHAPE      STRAIGHT SECTION,3365
0L3323-00100,ASSY GUARDRAIL HIGH U-SHAPE      STRAIGHT SECTION,6032
0L2352-21112,Divert shoe MK2 SPO 20ø (orange shoe buffer),0
0L2298-00003,Assy Side Covers Motor Side Drive SPO,0
0L2297-20001,"Assy Side Cover, ETU, SPO",0
0L2165-00001,End Idler sheave assy,0
0L1769-00001,Assy Tension/Tracking Unit timing belt SPO,0
0L1109-12998,Guardrail box profile,539
0L1050-00001,Clamp plate,0
0L0707-00001,Assy wheelguiding connector,0
0L0701-15230,Low RP Support With Damper,0
0L0701-12125,Low RP Support With Damper,0
0L0519-00001,Assy side guarding connection bolt,484
0L0516-33000,"ASSY SIDE GUARDING BF WITHOUT PHOTOCELL H=300, H=400 BAGGAGE",36
0L0516-32400,"ASSY SIDE GUARDING BF WITHOUT PHOTOCELL H=300, H=400 BAGGAGE",0
0L0516-32300,"ASSY SIDE GUARDING BF WITHOUT PHOTOCELL H=300, H=400 BAGGAGE",0
0L0516-32200,"ASSY SIDE GUARDING BF WITHOUT PHOTOCELL H=300, H=400 BAGGAGE",0
0L0516-32000,"ASSY SIDE GUARDING BF WITHOUT PHOTOCELL H=300, H=400 BAGGAGE",6
0L0516-31800,"ASSY SIDE GUARDING BF WITHOUT PHOTOCELL H=300, H=400 BAGGAGE",3
0L0516-31700,"ASSY SIDE GUARDING BF WITHOUT PHOTOCELL H=300, H=400 BAGGAGE",0
0L0516-31600,"ASSY SIDE GUARDING BF WITHOUT PHOTOCELL H=300, H=400 BAGGAGE",0
0L0516-31500,"ASSY SIDE GUARDING BF WITHOUT PHOTOCELL H=300, H=400 BAGGAGE",14
0L0516-31200,"ASSY SIDE GUARDING BF WITHOUT PHOTOCELL H=300, H=400 BAGGAGE",0
0L0516-31150,"ASSY SIDE GUARDING BF WITHOUT PHOTOCELL H=300, H=400 BAGGAGE",0
0L0516-31050,"ASSY SIDE GUARDING BF WITHOUT PHOTOCELL H=300, H=400 BAGGAGE",0
0L0516-31000,"ASSY SIDE GUARDING BF WITHOUT PHOTOCELL H=300, H=400 BAGGAGE",0
0L0516-30900,"ASSY SIDE GUARDING BF WITHOUT PHOTOCELL H=300, H=400 BAGGAGE",20
0L0516-30850,"ASSY SIDE GUARDING BF WITHOUT PHOTOCELL H=300, H=400 BAGGAGE",4
0L0516-30800,"ASSY SIDE GUARDING BF WITHOUT PHOTOCELL H=300, H=400 BAGGAGE",2
0L0516-30750,"ASSY SIDE GUARDING BF WITHOUT PHOTOCELL H=300, H=400 BAGGAGE",12
0L0516-30700,"ASSY SIDE GUARDING BF WITHOUT PHOTOCELL H=300, H=400 BAGGAGE",4
0L0516-30650,"ASSY SIDE GUARDING BF WITHOUT PHOTOCELL H=300, H=400 BAGGAGE",4
0L0516-30600,"ASSY SIDE GUARDING BF WITHOUT PHOTOCELL H=300, H=400 BAGGAGE",0
0L0516-30500,"ASSY SIDE GUARDING BF WITHOUT PHOTOCELL H=300, H=400 BAGGAGE",0
0L0516-30450,"ASSY SIDE GUARDING BF WITHOUT PHOTOCELL H=300, H=400 BAGGAGE",0
0L0516-30400,"ASSY SIDE GUARDING BF WITHOUT PHOTOCELL H=300, H=400 BAGGAGE",2
0L0210-20295,ASSY MOUNTING BRACKET,16
0L0126-06329,Assy Ceiling Hanger With Damper,0
0L0126-05481,Assy Ceiling Hanger With Damper,0
0L0126-02329,Assy Ceiling Hanger With Damper,0
0L0124-00001,ASSY VERTICAL HINGE CONN FOR U-GUARDING H=100 MM.,624
0L0123-00001,Hinge for round guardrail for tube ?25x2mm,0
0L0109-01550,SUPPORT BRACES MULTIPLEX,26
0L0109-01250,SUPPORT BRACES MULTIPLEX,8
0L0109-01050,SUPPORT BRACES MULTIPLEX,3
098500-649-21500,ASSY TRUSSING,0
098500-649-01500,ASSY TRUSSING,3
096000-034-01422,Bottom Plate Drive Aluminium  L=1422,13
096000-034-01122,Bottom Plate Drive Aluminium  L=1122,1
096000-034-00922,Bottom Plate Drive Aluminium  L=922,6
094291-103-00290,SIDE GUARDING RIGHT,8
094291-103-00200,SIDE GUARDING RIGHT,56
094291-102-00290,SIDE GUARDING LEFT,9
094291-102-00200,SIDE GUARDING LEFT,57
084905-131-01150,ASSY HORIZONTALE HINGE FOR U-SIDE GUARDING H=300 MM.,24
084905-131-01135,ASSY HORIZONTALE HINGE FOR U-SIDE GUARDING H=300 MM.,4
084905-131-01090,ASSY HORIZONTALE HINGE FOR U-SIDE GUARDING H=300 MM.,0
084905-131-01045,ASSY HORIZONTALE HINGE FOR U-SIDE GUARDING H=300 MM.,4
084905-131-01030,ASSY HORIZONTALE HINGE FOR U-SIDE GUARDING H=300 MM.,36
075992-001-00758,Slave Roller Poly-V Belt With PVC Covering,56
075992-001-00658,Slave Roller Poly-V Belt With PVC Covering,2348
075992-001-00558,Slave Roller Poly-V Belt With PVC Covering,317
075992-001-00458,Slave Roller Poly-V Belt With PVC Covering,8585
075875-006-00820,Assy fixed endstop,1
075875-006-00620,Assy fixed endstop,104
075875-006-00520,Assy fixed endstop,45
075735-039-01020,ASSY CONNECTION BC<->DOTM BF (BC MOTOR LOW),0
075735-039-00820,ASSY CONNECTION BC<->DOTM BF (BC MOTOR LOW),0
075735-039-00720,ASSY CONNECTION BC<->DOTM BF (BC MOTOR LOW),0
075735-039-00620,ASSY CONNECTION BC<->DOTM BF (BC MOTOR LOW),0
075735-039-00520,ASSY CONNECTION BC<->DOTM BF (BC MOTOR LOW),0
075641-150-01577,GUARDRAIL WITH WHEELS HEIGHT 300,9
070275-471-03000,Assy trespa side guiding L=2998,0
070275-471-02600,Assy trespa side guiding L=2598,0
070275-471-01500,Assy trespa side guiding L=1498,0
059007-788-01500,ASSY BI-DIRECTIONAL TRACKING ROLLER FOR BELTS WITH NO GRIP,3
059007-788-01000,ASSY BI-DIRECTIONAL TRACKING ROLLER FOR BELTS WITH NO GRIP,12
059005-123-31193,?71 Driven roller,24
053924-052-11020,Assy ?75 drive with transparent cover,1
053924-052-10720,Assy ?75 drive with transparent cover,6
053924-052-10620,Assy ?75 drive with transparent cover,52
053924-052-10520,Assy ?75 drive with transparent cover,22
053924-052-01020,Assy ?75 drive with transparent cover,3
053924-052-00820,Assy ?75 drive with transparent cover,0
053924-052-00720,Assy ?75 drive with transparent cover,7
053924-052-00620,Assy ?75 drive with transparent cover,50
053924-052-00520,Assy ?75 drive with transparent cover,18
053924-051-11020,Assy ?200 drive with transparent cover,4
053924-051-10820,Assy ?200 drive with transparent cover,15
053924-051-10720,Assy ?200 drive with transparent cover,4
053924-051-10620,Assy ?200 drive with transparent cover,51
053924-051-10520,Assy ?200 drive with transparent cover,140
053924-051-01020,Assy ?200 drive with transparent cover,0
053924-051-00920,Assy ?200 drive with transparent cover,2
053924-051-00820,Assy ?200 drive with transparent cover,13
053924-051-00720,Assy ?200 drive with transparent cover,2
053924-051-00620,Assy ?200 drive with transparent cover,31
053924-051-00520,Assy ?200 drive with transparent cover,111
053708-092-30712,End Plate W=712,0
053708-038-30001,Assy PAD support for DOTM channel,0
053708-038-10002,Assy PAD support for DOTM channel,0
053708-038-10001,Assy PAD support for DOTM channel,0
053708-032-40720,Assy connection BJ to DOTM BF/BM,6
053708-032-40620,Assy connection BJ to DOTM BF/BM,0
053708-032-20720,Assy connection BJ to DOTM BF/BM,12
024853-037-00001,Assy array PEC bracket 6mm detectionÿúÿRAL7016 (anthracite grey),0
024853-028-51105,Assy LRD with amnesty trap left hand,2
024853-028-51060,Assy LRD with amnesty trap left hand,9
024853-012-51060,Assy LRD with amnesty trap right hand,10
024853-002-30450,Assy R4 Support with Dampers,0
018318-002-00001,"Assy skewed roller total 60mm pitch, align to left",4
018318-001-00001,"Assy skewed roller total 60mm pitch, align to right",4
017370-001-11102,Drive train BJ 460V 60Hz SEW,0
017370-001-10102,Drive train BJ 460V 60Hz SEW,9
017121-030-01500,Assy net support double,0
017050-056-00001,Assy Robin MEP Conveyor Barrier Guarding,0
017050-048-00001,Assy AFE rebin workstation module,56
016788-003-00720,Net support  vertical single,24
016788-003-00620,Net support  vertical single,6
016788-003-00520,Net support  vertical single,119
016788-002-01020,Net support vertical double ,7
016788-002-00720,Net support vertical double ,58
016788-002-00620,Net support vertical double ,75
016788-002-00520,Net support vertical double ,112
016690-190-14290,Assy sideguarding for Dotm 520 BC h=300,0
016690-184-14130,Assy sideguarding for Dotm 520 BC h=100,0
016143-003-00001,Wheel Guide Plate Shoe Merge (Bottom),0
016143-001-11000,Retrofit Kit Wheel Guide Shoe Merge,0
016143-001-01000,Retrofit Kit Wheel Guide Shoe Merge,0
015912-159-00001,Weldment merge deck outwards,0
015593-134-00001,Clip for bearing safety cap ?60 st.st.,15
015593-133-00001,Clip for bearing safety cap ?30 st.st.,133
015593-118-00001,Assy sideguarding change over adjustable US Transnorm BC - BF5.2,0
015593-117-00001,Assy sideguarding change over adjustable BF5.2 - US Transnorm BC,4
015593-104-00001,Clip for bearing safety cap ?50 st.st.,474
015593-103-00001,Clip for bearing safety cap ?35 st.st.,74
015593-097-00001,Clip for bearing safety cap ?40 st.st.,0
009201-379-00001,Assy finger protection long,14
009249-380-00001,Finger protection TBS,696
015593-070-02700,Heavy Ceiling Hanger With Damper,0
015593-070-02400,Heavy Ceiling Hanger With Damper,14
015593-070-02200,Heavy Ceiling Hanger With Damper,0
015593-070-02100,Heavy Ceiling Hanger With Damper,7
015593-070-02000,Heavy Ceiling Hanger With Damper,20
015593-070-01800,Heavy Ceiling Hanger With Damper,614
015593-070-01600,Heavy Ceiling Hanger With Damper,0
015593-070-01500,Heavy Ceiling Hanger With Damper,10
015593-070-01400,Heavy Ceiling Hanger With Damper,101
015593-070-01200,Heavy Ceiling Hanger With Damper,15
015593-067-00001,Assy safety cover ETU ?75,0
015593-045-21200,Assy adjustable connection Transnorm BC - BF5.2,1
015593-037-21200,Assy adjustable connection BF5.2 -Transnorm BC,0
015593-037-11200,Assy adjustable connection BF5.2 -Transnorm BC,1
015593-030-10600,Assy changeover 90ø,4
015593-030-00600,Assy changeover 90ø,28
015593-022-01427,Assy Cover plate ETU,25
015593-022-01127,Assy Cover plate ETU,34
015593-022-00927,Assy Cover plate ETU,10
015392-070-01500,Assy connection and guarding,52
015392-070-01200,Assy connection and guarding,32
014513-075-32082,Assy Sort Unit (Drive roller: Interroll EC5000),2
014513-075-32052,Assy Sort Unit (Drive roller: Interroll EC5000),10
014513-075-23082,Assy Sort Unit (Drive roller: Interroll EC5000),1
014513-075-23052,Assy Sort Unit (Drive roller: Interroll EC5000),6
014513-075-22052,Assy Sort Unit (Drive roller: Interroll EC5000),0
014513-072-00001,Filling Plate Tilt Unit (3mm),168
014513-071-00001,Assy Motor Communication Drive control 2048,19
014513-066-00001,Lifting Tool - STX.M,28
014513-061-00076,Deck ETU BF (Epoxy Coated / Blank) for STX.M,3
014513-061-00046,Deck ETU BF (Epoxy Coated / Blank) for STX.M,16
014513-060-00001,Assy Motor Communication Module PulseRoller EZ-24V,0
014513-034-32052,Assy Sort Unit  W=520,0
014513-034-23052,Assy Sort Unit  W=520,0
014513-034-13082,Assy Sort Unit  W=820,0
014513-034-12082,Assy Sort Unit  W=820,0
014513-029-00001,Filling Plate Tilt Unit (1mm),384
014513-021-00082,Assy Belt Routing Frame,3
014513-021-00052,Assy Belt Routing Frame,16
014510-053-00001,Assy Connection for MBJ and assy short belt,5
014496-792-15011,Assy ?230 Centre Drive L=1500mm,0
014496-792-15002,Assy ?230 Centre Drive L=1500mm,8
014496-792-15001,Assy ?230 Centre Drive L=1500mm,7
004440-05041,Belt E8/2 U0/U10 S/LG-SE black W=500 prepared,0
000000-01958,Belt E8/2 U0/U10 S/LG-SE black W=800 prepared,0
014496-792-12002,Assy ?230 Centre Drive L=1500mm,0
014496-792-12001,Assy ?230 Centre Drive L=1500mm,1
014496-792-10012,Assy ?230 Centre Drive L=1500mm,0
014496-792-10002,Assy ?230 Centre Drive L=1500mm,7
004424-10031,Belt E8/2 U0/V15/LG black W=1000 prepared,0
004424-10033,Belt E8/2 U0/V15/LG-SE black W=1000 prepared FR,0
004424-13033,Belt E8/2 U0/V15/LG-SE black W=1300 prepared FR,0
004424-05033,Belt E8/2 U0/V15/LG-SE black W=500 prepared FR,0
004424-07033,Belt E8/2 U0/V15/LG-SE black W=700 prepared FR,0
004424-08033,Belt E8/2 U0/V15/LG-SE black W=800 prepared FR,0
014496-792-10001,Assy ?230 Centre Drive L=1500mm,3
014496-791-15002,Assy ?150 Centre Drive L=1500mm,28
014496-791-15001,Assy ?150 Centre Drive L=1500mm,50
014496-791-12002,Assy ?150 Centre Drive L=1500mm,15
014496-791-12001,Assy ?150 Centre Drive L=1500mm,9
014496-791-10002,Assy ?150 Centre Drive L=1500mm,2
004424-09033,Belt E8/2 U0/V15/LG-SE black W=900 prepared FR,0
004420-10033,Belt E8/2 U0/V5H/MT-SE black W=1000 prepared FR,0
004420-13033,Belt E8/2 U0/V5H/MT-SE black W=1300 prepared FR,0
014496-791-10001,Assy ?150 Centre Drive L=1500mm,2
014496-790-15002,Assy ?100 Centre Drive L=900mm,0
004420-04014,Belt E8/2 U0/V5H/MT-SE black W=400 endless FR,0
004420-05015,Belt E8/2 U0/V5H/MT-SE black W=500 endless FR,0
014496-790-12002,Assy ?100 Centre Drive L=900mm,24
014496-790-12001,Assy ?100 Centre Drive L=900mm,24
014496-790-10002,Assy ?100 Centre Drive L=900mm,22
014496-728-01500,"Assy ETU BF (W=1500mm), roller L=1258mm",186
014496-728-01200,"Assy ETU BF (W=1200mm), roller L=958mm",146
014496-711-01122,Under Guarding ?100 Centre Drive,48
014496-711-00922,Under Guarding ?100 Centre Drive,22
014496-698-00001,Assy Torsion arm ?230 Drive KA77,26
